"Territorialidade","Posição IDHM","IDHM","Posição IDHM Renda","IDHM Renda","Posição IDHM Educação","IDHM Educação","Posição IDHM Longevidade","IDHM Longevidade","","","","","","","","","","","","","","","","",""
"Niterói (RJ)","7","0.837","2","0.887","13","0.773","581","0.854","","","","","","","","","","","","","","","","",""
"Rio de Janeiro (RJ)","45","0.799","18","0.84","172","0.719","943","0.845","","","","","","","","","","","","","","","","",""
"Rio das Ostras (RJ)","197","0.773","106","0.784","483","0.689","581","0.854","","","","","","","","","","","","","","","","",""
"Volta Redonda (RJ)","220","0.771","252","0.763","168","0.72","1515","0.833","","","","","","","","","","","","","","","","",""
"Resende (RJ)","249","0.768","266","0.762","251","0.709","1238","0.839","","","","","","","","","","","","","","","","",""
"Maricá (RJ)","289","0.765","281","0.761","450","0.692","722","0.85","","","","","","","","","","","","","","","","",""
"Macaé (RJ)","304","0.764","73","0.792","573","0.681","1747","0.828","","","","","","","","","","","","","","","","",""
"Iguaba Grande (RJ)","350","0.761","532","0.744","305","0.704","1128","0.841","","","","","","","","","","","","","","","","",""
"Mangaratiba (RJ)","488","0.753","494","0.746","634","0.676","943","0.845","","","","","","","","","","","","","","","","",""
"Nilópolis (RJ)","488","0.753","805","0.731","193","0.716","2307","0.817","","","","","","","","","","","","","","","","",""
"Nova Friburgo (RJ)","648","0.745","303","0.758","1097","0.645","901","0.846","","","","","","","","","","","","","","","","",""
"Miguel Pereira (RJ)","648","0.745","596","0.74","648","0.675","1747","0.828","","","","","","","","","","","","","","","","",""
"Petrópolis (RJ)","648","0.745","252","0.763","1209","0.639","846","0.847","","","","","","","","","","","","","","","","",""
"São Gonçalo (RJ)","795","0.739","1268","0.711","573","0.681","1515","0.833","","","","","","","","","","","","","","","","",""
"Valença (RJ)","823","0.738","1217","0.713","768","0.666","792","0.848","","","","","","","","","","","","","","","","",""
"Mesquita (RJ)","850","0.737","1449","0.704","606","0.678","1238","0.839","","","","","","","","","","","","","","","","",""
"Itatiaia (RJ)","850","0.737","715","0.735","995","0.652","1370","0.836","","","","","","","","","","","","","","","","",""
"Mendes (RJ)","876","0.736","1372","0.707","355","0.7","2849","0.806","","","","","","","","","","","","","","","","",""
"Cabo Frio (RJ)","897","0.735","548","0.743","1193","0.64","1370","0.836","","","","","","","","","","","","","","","","",""
"Barra do Piraí (RJ)","940","0.733","961","0.723","787","0.665","2216","0.819","","","","","","","","","","","","","","","","",""
"Arraial do Cabo (RJ)","940","0.733","989","0.722","620","0.677","2899","0.805","","","","","","","","","","","","","","","","",""
"Bom Jesus do Itabapoana (RJ)","965","0.732","961","0.723","829","0.662","2216","0.819","","","","","","","","","","","","","","","","",""
"Itaperuna (RJ)","1021","0.73","1136","0.716","1032","0.649","1315","0.837","","","","","","","","","","","","","","","","",""
"Natividade (RJ)","1021","0.73","1372","0.707","548","0.683","2849","0.806","","","","","","","","","","","","","","","","",""
"Teresópolis (RJ)","1021","0.73","375","0.752","1857","0.605","551","0.855","","","","","","","","","","","","","","","","",""
"Barra Mansa (RJ)","1052","0.729","1039","0.72","914","0.657","2216","0.819","","","","","","","","","","","","","","","","",""
"Cordeiro (RJ)","1052","0.729","937","0.724","1032","0.649","1846","0.826","","","","","","","","","","","","","","","","",""
"Armação dos Búzios (RJ)","1081","0.728","415","0.75","1517","0.624","1951","0.824","","","","","","","","","","","","","","","","",""
"Casimiro de Abreu (RJ)","1133","0.726","739","0.734","1157","0.642","2611","0.811","","","","","","","","","","","","","","","","",""
"Três Rios (RJ)","1154","0.725","918","0.725","930","0.656","3077","0.801","","","","","","","","","","","","","","","","",""
"Angra dos Reis (RJ)","1191","0.724","596","0.74","1857","0.605","901","0.846","","","","","","","","","","","","","","","","",""
"Engenheiro Paulo de Frontin (RJ)","1244","0.722","2318","0.674","431","0.694","2899","0.805","","","","","","","","","","","","","","","","",""
"Paracambi (RJ)","1301","0.72","1915","0.689","768","0.666","2562","0.812","","","","","","","","","","","","","","","","",""
"São João de Meriti (RJ)","1331","0.719","1797","0.693","1082","0.646","1603","0.831","","","","","","","","","","","","","","","","",""
"Araruama (RJ)","1362","0.718","1190","0.714","1649","0.617","1238","0.839","","","","","","","","","","","","","","","","",""
"Santo Antônio de Pádua (RJ)","1362","0.718","1318","0.709","1050","0.648","2849","0.806","","","","","","","","","","","","","","","","",""
"Campos dos Goytacazes (RJ)","1427","0.716","1166","0.715","1615","0.619","1647","0.83","","","","","","","","","","","","","","","","",""
"Itaguaí (RJ)","1454","0.715","1473","0.703","1232","0.638","2453","0.814","","","","","","","","","","","","","","","","",""
"Pinheiral (RJ)","1454","0.715","1318","0.709","1133","0.643","3077","0.801","","","","","","","","","","","","","","","","",""
"Vassouras (RJ)","1486","0.714","1069","0.719","1517","0.624","2504","0.813","","","","","","","","","","","","","","","","",""
"Itaocara (RJ)","1514","0.713","1707","0.696","1295","0.635","2161","0.82","","","","","","","","","","","","","","","","",""
"Porto Real (RJ)","1514","0.713","1939","0.688","1097","0.645","2307","0.817","","","","","","","","","","","","","","","","",""
"Miracema (RJ)","1514","0.713","1707","0.696","1082","0.646","2899","0.805","","","","","","","","","","","","","","","","",""
"Carapebus (RJ)","1514","0.713","1605","0.699","1112","0.644","2899","0.805","","","","","","","","","","","","","","","","",""
"Nova Iguaçu (RJ)","1514","0.713","1858","0.691","1176","0.641","2259","0.818","","","","","","","","","","","","","","","","",""
"Seropédica (RJ)","1514","0.713","1741","0.695","1050","0.648","2899","0.805","","","","","","","","","","","","","","","","",""
"Conceição de Macabu (RJ)","1546","0.712","1649","0.698","1157","0.642","2849","0.806","","","","","","","","","","","","","","","","",""
"São Pedro da Aldeia (RJ)","1546","0.712","1008","0.721","1473","0.626","3077","0.801","","","","","","","","","","","","","","","","",""
"Duque de Caxias (RJ)","1574","0.711","1817","0.692","1517","0.624","1515","0.833","","","","","","","","","","","","","","","","",""
"Rio Bonito (RJ)","1595","0.71","1424","0.705","1593","0.62","2216","0.819","","","","","","","","","","","","","","","","",""
"Saquarema (RJ)","1638","0.709","1190","0.714","1577","0.621","2940","0.804","","","","","","","","","","","","","","","","",""
"Magé (RJ)","1638","0.709","2020","0.685","1473","0.626","1560","0.832","","","","","","","","","","","","","","","","",""
"Cantagalo (RJ)","1638","0.709","1424","0.705","1703","0.614","2064","0.822","","","","","","","","","","","","","","","","",""
"Piraí (RJ)","1665","0.708","1190","0.714","1593","0.62","2990","0.803","","","","","","","","","","","","","","","","",""
"Quissamã (RJ)","1776","0.704","1649","0.698","1766","0.61","2112","0.821","","","","","","","","","","","","","","","","",""
"Macuco (RJ)","1811","0.703","1967","0.687","1370","0.631","3077","0.801","","","","","","","","","","","","","","","","",""
"Paraíba do Sul (RJ)","1842","0.702","1678","0.697","1766","0.61","2562","0.812","","","","","","","","","","","","","","","","",""
"Cachoeiras de Macacu (RJ)","1904","0.7","1741","0.695","1904","0.603","2307","0.817","","","","","","","","","","","","","","","","",""
"Guapimirim (RJ)","1969","0.698","1817","0.692","1880","0.604","2562","0.812","","","","","","","","","","","","","","","","",""
"Porciúncula (RJ)","1995","0.697","1649","0.698","1835","0.606","3026","0.802","","","","","","","","","","","","","","","","",""
"Carmo (RJ)","2028","0.696","2061","0.683","1802","0.608","2504","0.813","","","","","","","","","","","","","","","","",""
"Itaboraí (RJ)","2105","0.693","1890","0.69","2084","0.593","2504","0.813","","","","","","","","","","","","","","","","",""
"Paraty (RJ)","2105","0.693","897","0.726","3122","0.544","1075","0.842","","","","","","","","","","","","","","","","",""
"Aperibé (RJ)","2134","0.692","2428","0.67","1370","0.631","3649","0.785","","","","","","","","","","","","","","","","",""
"Cambuci (RJ)","2161","0.691","2375","0.672","1802","0.608","2696","0.809","","","","","","","","","","","","","","","","",""
"São Fidélis (RJ)","2161","0.691","2020","0.685","1744","0.611","3594","0.787","","","","","","","","","","","","","","","","",""
"Quatis (RJ)","2182","0.69","2266","0.676","1904","0.603","2849","0.806","","","","","","","","","","","","","","","","",""
"Italva (RJ)","2224","0.688","1817","0.692","2045","0.595","3428","0.792","","","","","","","","","","","","","","","","",""
"Comendador Levy Gasparian (RJ)","2309","0.685","2266","0.676","1857","0.605","3649","0.785","","","","","","","","","","","","","","","","",""
"Areal (RJ)","2332","0.684","1996","0.686","2654","0.566","1987","0.823","","","","","","","","","","","","","","","","",""
"Belford Roxo (RJ)","2332","0.684","2613","0.662","1995","0.598","2754","0.808","","","","","","","","","","","","","","","","",""
"Rio Claro (RJ)","2359","0.683","1576","0.7","2633","0.567","3077","0.801","","","","","","","","","","","","","","","","",""
"Queimados (RJ)","2439","0.68","2667","0.659","2174","0.589","2661","0.81","","","","","","","","","","","","","","","","",""
"Rio das Flores (RJ)","2439","0.68","2562","0.664","2457","0.575","2064","0.822","","","","","","","","","","","","","","","","",""
"Sapucaia (RJ)","2545","0.675","2090","0.682","2757","0.561","2940","0.804","","","","","","","","","","","","","","","","",""
"Paty do Alferes (RJ)","2642","0.671","2061","0.683","3011","0.549","2849","0.806","","","","","","","","","","","","","","","","",""
"São João da Barra (RJ)","2642","0.671","1996","0.686","2967","0.551","3129","0.8","","","","","","","","","","","","","","","","",""
"Santa Maria Madalena (RJ)","2716","0.668","2375","0.672","2866","0.556","3252","0.797","","","","","","","","","","","","","","","","",""
"Laje do Muriaé (RJ)","2716","0.668","2861","0.649","2457","0.575","3129","0.8","","","","","","","","","","","","","","","","",""
"Trajano de Moraes (RJ)","2738","0.667","2466","0.668","3053","0.547","2504","0.813","","","","","","","","","","","","","","","","",""
"Bom Jardim (RJ)","2898","0.66","1372","0.707","3925","0.503","2696","0.809","","","","","","","","","","","","","","","","",""
"São José do Vale do Rio Preto (RJ)","2898","0.66","2428","0.67","3328","0.533","2849","0.806","","","","","","","","","","","","","","","","",""
"Japeri (RJ)","2924","0.659","3068","0.637","2888","0.555","2696","0.809","","","","","","","","","","","","","","","","",""
"Duas Barras (RJ)","2924","0.659","2230","0.677","3300","0.534","3511","0.79","","","","","","","","","","","","","","","","",""
"Varre-Sai (RJ)","2924","0.659","3079","0.636","2888","0.555","2661","0.81","","","","","","","","","","","","","","","","",""
"Silva Jardim (RJ)","3030","0.654","2709","0.657","3270","0.536","3400","0.793","","","","","","","","","","","","","","","","",""
"Tanguá (RJ)","3030","0.654","2952","0.644","3029","0.548","3400","0.793","","","","","","","","","","","","","","","","",""
"São José de Ubá (RJ)","3070","0.652","3120","0.633","3029","0.548","3214","0.798","","","","","","","","","","","","","","","","",""
"Cardoso Moreira (RJ)","3156","0.648","2789","0.653","3300","0.534","3704","0.782","","","","","","","","","","","","","","","","",""
"São Sebastião do Alto (RJ)","3186","0.646","3048","0.638","3270","0.536","3540","0.789","","","","","","","","","","","","","","","","",""
"São Francisco de Itabapoana (RJ)","3312","0.639","3354","0.618","3328","0.533","3475","0.791","","","","","","","","","","","","","","","","",""
"Sumidouro (RJ)","3884","0.611","2685","0.658","4999","0.436","3292","0.796","","","","","","","","","","","","","","","","",""
